BE,Count/s
125,1973.89
124,1792.1
123,1700.1
122,1622.33
121,1679.72
120,2297.22
119,1954.2
118,1623.03
117,1991.45
116,1741.31
115,1864.76
114,1433.31
113,2290.59
112,1657.75
111,2156.06
110,2083.89
109,1798.36
108,2041.51
107,1951.27
106,1829.26
105,1778.01
104,1749.5
103,1709.36
102,2000.87
101,1480.6
100,1832.98
99,1721.05
98,1288.52
97,1152.1
96,1544.12
95,1870.56
94,1846.49
93,1998.07
92,2640.94
91,3135.69
90,3275.34
89,3899.28
88,4792.91
87,3134.35
86,1727.93
85,1641.43
84,2600.09
83,2046.52
82,1077.65
81,791.953
80,643.569
79,722.861
78,768.122
77,767.028
76,583.755
75,553.599
74,475.045
73,376.516
72,406.265
71,554.036
70,455.934
69,743.604
68,604.618
67,793.012
66,460.427
65,529.493
64,683.489
63,623.384
62,799.041
61,509.172
60,774.162
59,929.222
58,661.039
57,519.292
56,511.19
55,1075.32
54,532.234
53,586.3
52,769.895
51,487.184
50,518.414
49,412.118
48,633.886
47,571.787
46,691.958
45,837.505
44,655.582
43,404.137
42,554.714
41,618.881
40,599.393
39,549.859
38,703.901
37,478.619
36,643.805
35,377.791
34,460.115
33,538.665
32,656.903
31,531.526
30,475.733
29,450.447
28,702.455
27,299.95
26,466.842
25,674.247
24,815.653
23,677.224
22,555.858
21,615.361
20,335.522
19,425.994
18,318.619
17,259.679
16,387.776
15,137.063
14,276.893
13,153.343
12,541.109
11,1686.07
10,2523.99
9,1517.33
8,439.98
7,463.504
6,254.498
5,386.973
4,369.232
3,372.706
2,121.878
1,45.0954
0,0
